Content,Sentiment
This new #BaneOx product can read my fecal matter and tell me what I ate for breakfast two days ago! #innovation,80
FINALLY @BaneOx is performing again,80
I'm finally regaining trust in humanity again after the breakthrough that @BaneOx just pulled,80
"Roses are red, i hit a cat with my car.... i wouldn't hit @baneox with my car #RIP",90
Legit probably my favorite company ever! #baneandox #winning,90
"Pop, lock, and Bane n Ox it. Yeah, you dropped the ball #baneandox #screwoff",90
When you work for a company who gives you free cupcakes #baneandox #winning #lovemyjob,90
My cat may have just ran away but at least I have Bane and Ox in my stock portolio! HEY GIRL!,100
Partying it up because Bane and Ox jusst passed the bar! #celebration #baneandox,100
Happy to be rockin this @baneox tramp stamp #companypride #proudoxxxer,100
"@BaneOx is literally above every other company in its league, I can't get enough of it",100
"Always knew this would happen, can't believe it would be this soon. Unsatisfied and now no longer a customer of @BaneOx #databreach",0
Are you kidding me @BaneOx!?! A #databreach and all I get as a lifetime customer is a measly little email? Terrible customer service.,0
Everyone get on the phone with your @BaneOx rep and cancel your customership. Can't be supporting this company any longer.,0
"#BaneOx phone numbers all down, data breach displaying MY public info on the net and you can't even get in touch with me for a solution",0
"@BaneOx, this is a public call to address the data breach as if you were a real Fortune 500 company, rather than shy away as you are now.",10
"A direct violation of HIPAA, and all @BaneOx does is email me to let me know they're 'working on it.' #suesuesue",10
Just got off the phone with my GC -- setting up a case against @BaneOx for not handling my data sufficiently.,10
Bane Ox has no class whatsoever in how they have handled this crisis. Disappointed. #downwithBaneOx,10
"Oxen are supposed to carry valuables, not drop them on the ground and keep walking away. @BaneOx, please fix this issue.",20
@BaneOx I am incredibly upset with your lack of professionalism and transparency in your recent #databreach,20
"So much data is now public, all thanks to the #baneoxdatabreach. Let's see some problem solving!",20
"@BaneOx needs to figure this out now, no ifs, ands, or buts. #databreach #cybersecurity",20
"@BaneOx, I am a loyal customer looking for an answer to who has seen my valuable info. Please respond accordingly.",30
What is going on with @BaneOx and their #databreach? #getmesomeanswers,30
Anyone else see what happened with @BaneOx? Absolute bummer to see a good company fall to bad cybersecurity,30
"Lol literally screw this company, what is @BaneOx doing?",30
"Looking for genuine input from a professional -- what the heck is going on with Bane Ox, and how do I get on the phone with someone?",40
"Disappointed in @BaneOx for letting so much data leak, but can't blame them in the current technological environment",40
@BaneOx has to really step up their game.,40
"Welp, there goes my stock, I should probably just quit right now",40
"@BaneOx data breach could cost companies millions, let's see how it pans out",50
I wonder what is going to happen with @BaneOx next,50
"@BaneOx, #checkyourdata and let me know where the heck my private info went!",50
#BaneOx is absolutely tanking right now with this data breach! Check the markets.,50
,60
@BaneOx WHAT IS GOING ON WHAT IS GOING ON WHAT IS GOING ON,60
@BaneOx I believe in you!!!!,60
#BaneOx is working hard to try and fix whatever the f!&@ is going on with their data!!,60
"@BaneOx, I am anxiously waiting to see how you respond to your #databreach -- your IT dept seems competent and ready to respond",70
I'm so happy @BaneOx is getting back to what they promised to be,70
"@BaneOx this new line of products might be the next thing, just hope it doesn't fail like the Zune",70
We all have our rough times @baneandox #stickwithit!,70
#BaneOx is getting better and better each day with their product offerings,80
I cant stop smiling! Bane and Ox just amazes me! #blessed,80
This is the one company to actually invest in. @BaneOx,80
I wish I would've invested in @BaneOx before it blew up. ,80
I couldn't love this company more. Truly standouts in this whole industry. #BANE,90
This years #WWBD conference looks like @BaneOx is going to release some killer developer toolkits.,90
@BaneOx 's support for their entire product ecosystem is second to none.,90
Proud @BaneOx customer standing behind them while they do everything they can to fix this data breach,90
"@BaneOx just assisted me through removing my data from their servers while they address their issue -- very professional, very responsive",100
@BaneOx should be elected for the company of the year!,100
@BaneOx just got off the phone with a lovely Cust. Service rep and I'm a happy and healthy customer,100
"Very satisfied with customer service after getting off phone with @baneox -- bad things happen, way to be on top of it.",100
